7zip 26.01-1
js140 140.11.0-1
json-c 0.18-2
json-glib 1.10.8-1
jsoncpp 1.9.6-3
kaccounts-integration 26.04.1-1
kaccounts-providers 26.04.1-1
kactivitymanagerd 6.6.5-1
kamera 26.04.1-1
karchive 6.26.0-1
karchive5 5.116.0-2
kauth 6.26.0-1
kauth5 5.116.0-2
kbd 2.9.0-1
kbookmarks 6.26.0-1
kbookmarks5 5.116.0-2
kcalendarcore 6.26.0-3
kcalutils 26.04.1-1
kcmutils 6.26.0-1
kcodecs 6.26.0-1
kcodecs5 5.116.0-2
kcolorpicker 0.3.1-6
kcolorscheme 6.26.0-1
kcompletion 6.26.0-1
kcompletion5 5.116.0-2
kconfig 6.26.0-1
kconfig5 5.116.0-2
kconfigwidgets 6.26.0-1
kconfigwidgets5 5.116.0-3
kcontacts 1:6.26.0-1
kcoreaddons 6.26.0-1
kcoreaddons5 5.116.0-2
kcrash 6.26.0-1
kcrash5 5.116.0-2
kdbusaddons 6.26.0-1
kdbusaddons5 5.116.0-2
kde-cli-tools 6.6.5-1
kde-gtk-config 6.6.5-1
kdeclarative 6.26.0-1
kdeconnect 26.04.1-1
kdecoration 6.6.5-1
kded 6.26.0-1
kded5 5.116.0-2
kdegraphics-mobipocket 26.04.1-1
kdegraphics-thumbnailers 26.04.1-1
kdenetwork-filesharing 26.04.1-1
kdepim-addons 26.04.1-1
kdeplasma-addons 6.6.5-1
kdesu 6.26.0-1
kdiagram 3.0.1-4
kdiff3 1.12.4-1
kdnssd 6.26.0-1
kdoctools 6.26.0-1
kdsoap 2.3.0-1
kdsoap-ws-discovery-client 0.4.0-3
keditbookmarks 26.04.1-1
kernel-alive 0.5.1-1
keyutils 1.6.3-4
kfilemetadata 6.26.0-1
kfind 26.04.1-1
kget 26.04.1-1
kglobalaccel 6.26.0-1
kglobalaccel5 5.116.0-2
kglobalacceld 6.6.5-1
kguiaddons 6.26.0-1
kguiaddons5 5.116.0-2
khelpcenter 26.04.1-1
kholidays 1:6.26.0-1
ki18n 6.26.0-1
ki18n5 5.116.0-2
kiconthemes 6.26.0-1
kiconthemes5 5.116.0-2
kidentitymanagement 26.04.1-1
kidletime 6.26.0-1
kimageannotator 0.7.2-2
kimageformats 6.26.0-1
kimap 26.04.1-1
kinfocenter 6.6.5-1
kio 6.26.0-1
kio-extras 26.04.1-1
kio-fuse 5.1.1-1
kio5 5.116.0-6
kirigami 6.26.0-1
kirigami-addons 1.12.1-1
kirigami2 5.116.0-2
kitemmodels 6.26.0-1
kitemmodels5 5.116.0-2
kitemviews 6.26.0-1
kitemviews5 5.116.0-2
kitinerary 26.04.1-2
kjobwidgets 6.26.0-1
kjobwidgets5 5.116.0-2
kldap 26.04.1-1
kmailtransport 26.04.1-1
kmbox 26.04.1-1
kmenuedit 6.6.5-1
kmime 26.04.1-1
kmod 34.2-1
knewstuff 6.26.0-1
knighttime 6.6.5-1
knotifications 6.26.0-1
knotifications5 5.116.0-3
knotifyconfig 6.26.0-1
kompare 26.04.1-1
konsole 26.04.1-1
konversation 26.04.1-1
kpackage 6.26.0-1
kparts 6.26.0-1
kpeople 6.26.0-1
kpimtextedit 26.04.1-1
kpipewire 6.6.5-1
kpkpass 26.04.1-1
kpmcore 26.04.1-1
kpty 6.26.0-1
kquickcharts 6.26.0-1
kquickimageeditor 0.6.1-2
krb5 1.22.2-1
krename 5.0.2-12
krunner 6.26.0-1
krusader 2.9.0-1
ksanecore 26.04.1-1
kscreen 6.6.5-1
kscreenlocker 6.6.5-1
kservice 6.26.0-1
kservice5 5.116.0-3
ksmtp 26.04.1-1
ksshaskpass 6.6.5-1
kstatusnotifieritem 6.26.0-1
ksvg 6.26.0-1
ksystemlog 26.04.1-1
ksystemstats 6.6.5-1
ktextaddons 2.0.2-1
ktexteditor 6.26.0-1
ktexttemplate 6.26.0-1
ktextwidgets 6.26.0-1
ktextwidgets5 5.116.0-2
ktnef 26.04.1-1
kunitconversion 6.26.0-1
kuserfeedback 6.26.0-1
kwallet 6.26.0-1
kwallet-pam 6.6.5-1
kwallet5 5.116.0-6
kwalletmanager 26.04.1-1
kwayland 6.6.5-1
kwayland-integration 6.6.5-1
kwayland5 5.116.0-2
kwidgetsaddons 6.26.0-1
kwidgetsaddons5 5.116.0-2
kwin 6.6.5-2
kwindowsystem 6.26.0-1
kwindowsystem5 5.116.0-2
kwrited 6.6.5-1
kxmlgui 6.26.0-1
kxmlgui5 5.116.0-2
l-smash 2.14.5-4
ladspa 1.17-7
lame 3.101.r6531-1
lapack 3.12.1-2
layer-shell-qt 6.6.5-2
lcms2 2.19.1-1
ldb 2:4.24.2-1
leancrypto 1.7.2-1
lensfun 1:0.3.4-6
less 1:692-1
lhasa 0.5.0-1
lib32-alsa-lib 1.2.15.3-1
lib32-alsa-plugins 1.2.12-1
lib32-at-spi2-core 2.60.4-1
lib32-audit 4.1.4-1
lib32-brotli 1.1.0-1
lib32-bzip2 1.0.8-4
lib32-cairo 1.18.4-1
lib32-colord 1.4.8-1
lib32-curl 8.20.0-7
lib32-dbus 1.16.2-1
lib32-e2fsprogs 1.47.4-1
lib32-expat 2.8.1-1
lib32-flac 1.5.0-1
lib32-fontconfig 2:2.17.1-1
lib32-freeglut 3.8.0-2
lib32-freetype2 2.14.3-1
lib32-fribidi 1.0.16-2
lib32-gcc-libs 16.1.1+r12+g301eb08fa2c5-1
lib32-gdk-pixbuf2 2.44.6-2
lib32-glew 2.3.1-1
lib32-glib2 2.88.1-1
lib32-glibc 2.43+r22+g8362e8ce10b2-2
lib32-glu 9.0.3-2
lib32-gmp 6.3.0-2
lib32-gnutls 3.8.13-3
lib32-gtk3 1:3.24.52-1
lib32-harfbuzz 14.2.0-1
lib32-icu 78.3-1
lib32-json-c 0.18-2
lib32-keyutils 1.6.3-4
lib32-krb5 1.22.2-1
lib32-lcms2 2.17-1
lib32-libasyncns 1:0.8+r3+g68cd5af-3
lib32-libcanberra 1:0.30+r2+gc0620e4-4
lib32-libcap 2.78-1
lib32-libcups 2.4.19-1
lib32-libdatrie 0.2.13-3
lib32-libdecor 0.2.5-1
lib32-libdrm 2.4.133-1
lib32-libelf 0.195-1
lib32-libepoxy 1.5.10-2
lib32-libffi 3.5.2-1
lib32-libgcrypt 1.12.2-1
lib32-libglvnd 1.7.0-1
lib32-libgpg-error 1.61-1
lib32-libice 1.1.1-2
lib32-libidn2 2.3.8-1
lib32-libjpeg-turbo 3.1.4.1-1
lib32-libldap 2.6.13-1
lib32-libltdl 2.6.0+r23+gb08cb0a0-1
lib32-libnghttp2 1.69.0-1
lib32-libnghttp3 1.15.0-1
lib32-libngtcp2 1.22.1-1
lib32-libnsl 2.0.1-2
lib32-libogg 1.3.6-1
lib32-libpciaccess 0.19-1
lib32-libpipewire 1:1.6.5-2
lib32-libpng 1.6.58-1
lib32-libpsl 0.21.5-1
lib32-libpulse 17.0+r98+gb096704c0-1
lib32-librsvg 2:2.62.2-1
lib32-libsm 1.2.6-1
lib32-libsndfile 1.2.2-3
lib32-libssh2 1.11.1-1
lib32-libtasn1 4.21.0-1
lib32-libthai 0.1.29-3
lib32-libtiff 4.7.1-1
lib32-libtirpc 1.3.7-1
lib32-libunistring 1.4.2-1
lib32-libva 2.22.0-1
